Dates,Open,Hign,Low,Closing
20070710,3832.756,3852.933,3764.249,3775.621
20070711,3751.489,3797.811,3732.294,3789.874
20070712,3799.185,3839.206,3780.028,3816.921
20070713,3825.033,3829.679,3773.929,3820.124
20070716,3824.911,3830.372,3697.217,3697.966
20070717,3684.335,3812.253,3650.253,3789.651
20070718,3776.94,3861.509,3756.704,3807.574
20070719,3796.915,3836.385,3778.509,3806.997
20070720,3808.082,3971.892,3808.082,3971.884
20070723,4009.063,4157.392,4009.063,4156.723
20070724,4187.327,4241.581,4143.588,4161.352
20070725,4163.364,4256.054,4163.348,4255.463
20070726,4282.676,4325.931,4244.079,4303.185
20070727,4277.551,4318.343,4225.029,4307.143
20070730,4305.178,4426.307,4303.732,4410.297
20070731,4402.518,4467.647,4359.592,4460.564
20070801,4479.299,4496.249,4271.055,4290.477
20070802,4311.599,4449.402,4303.975,4436.192
20070803,4472.894,4599.248,4472.894,4598.379
20070806,4642.78,4704.188,4623.489,4703.984
20070807,4715.389,4771.584,4634.868,4724.547
20070808,4680.071,4741.448,4579.404,4668.087
20070809,4666.421,4779.143,4666.204,4777.286
20070810,4765.852,4771.606,4631.043,4726.683
20070813,4724.516,4767.08,4663.199,4721.192
20070814,4721.446,4803.567,4704.148,4795.568
20070815,4804.676,4836.587,4697.97,4798.75
20070816,4772.356,4772.97,4665.21,4721.942
20070817,4694.2,4774.988,4616.966,4626.583
20070820,4749.204,4885.835,4747.27,4885.427
20070821,4915.524,4995.527,4909.844,4972.711
20070822,4899.93,5075.892,4887.139,5051.688
20070823,5075.51,5154.846,5028.124,5135.93
20070824,5161.15,5231.154,5158.033,5217.581
20070827,5250.619,5296.571,5191.28,5243.147
20070828,5220.639,5270.302,5136.614,5251.77
20070829,5215.655,5283.333,5138.336,5171.822
20070830,5193.726,5247.572,5175.997,5241.228
20070831,5255.091,5307.417,5219.989,5296.813
20070903,5335.049,5433.745,5335.049,5419.169
20070904,5421.254,5429.206,5333.494,5360.333
20070905,5357.553,5389.325,5265.064,5363.251
20070906,5389.486,5448.84,5365.497,5412.037
20070907,5382.911,5402.715,5284.65,5294.795
20070910,5226.736,5380.456,5182.101,5377.222
20070911,5384.559,5413.999,5104.347,5124.092
20070912,5102.576,5212.652,5059.464,5202.856
20070913,5230.645,5351.575,5212.03,5349.97
20070914,5362.465,5405.854,5274.221,5397.278
20070917,5389.501,5504.771,5387.68,5498.908
